RT_cue_15;RT_cue_50L;RT_cue_50H;RT_cue_100;RT_stim_15;RT_stim_50L;RT_stim_50H;RT_stim_100;RT_liv_15;RT_non_15;RT_liv_50l;RT_non_50l;RT_liv_50h;RT_non_50h;RT_liv_100;RT_non_100;;;;;;;;;;;;;;;;
670;80;703;30;712;80;562;60;972;30;994;10;938;80;1013;70;966;0;972;90;947;70;1038;40;923;10;971;30;975;70;1024;70
485;50;591;40;503;30;497;0;630;40;963;0;663;40;870;10;670;60;584;90;654;70;981;60;629;10;721;50;860;80;659;20
606;20;683;50;703;30;537;70;826;20;941;10;828;0;831;60;806;60;843;40;910;60;971;50;855;30;805;40;817;50;842;70
543;0;546;0;546;40;424;60;719;30;710;80;706;50;685;30;685;30;745;20;680;30;739;0;706;10;705;60;653;10;710;90
492;70;629;10;570;60;497;60;634;40;694;50;691;20;673;80;639;10;629;70;680;60;707;80;692;30;683;80;665;10;682;80
567;80;795;70;827;50;571;90;914;40;799;50;835;20;790;40;820;80;1004;10;789;30;809;90;834;30;843;30;785;30;795;50
534;50;587;20;553;70;483;80;673;10;718;40;701;30;655;40;691;30;655;0;701;70;731;0;718;10;680;90;636;30;669;70
449;50;501;40;451;80;450;30;694;40;684;10;717;50;683;60;709;50;681;0;697;30;677;10;723;30;710;20;668;10;694;70
452;10;528;80;488;80;506;50;633;10;668;50;625;10;626;70;586;10;678;10;664;70;677;0;598;10;655;10;585;80;707;10
470;60;529;20;510;90;467;0;675;80;729;50;680;40;691;60;658;60;685;80;711;0;745;0;698;50;661;40;728;40;659;60
772;20;1028;30;918;0;738;0;949;90;952;60;934;70;1063;90;894;80;1005;0;868;60;1040;20;885;30;991;50;953;40;1174;40
590;0;611;10;619;10;523;80;741;40;733;40;722;40;746;60;722;10;754;50;691;30;769;20;714;50;729;70;727;50;767;60
511;90;572;90;531;60;478;80;700;70;717;20;725;0;681;10;721;60;679;10;748;50;693;20;779;30;675;20;705;40;661;20
575;10;555;60;621;70;515;40;842;40;835;20;849;80;882;30;859;0;824;10;859;60;807;40;822;80;876;80;940;80;823;80
643;30;702;50;653;40;534;60;791;30;804;20;814;30;839;0;809;50;769;90;760;20;836;20;802;80;825;50;857;10;808;70
587;50;660;30;623;70;586;20;914;40;968;0;929;40;940;60;863;10;964;50;888;90;1035;80;879;0;979;80;951;60;934;50
567;50;701;80;622;70;539;90;766;0;773;50;755;70;777;40;775;80;762;30;751;60;792;50;739;0;774;0;708;70;854;70
567;0;622;30;605;50;538;20;739;0;765;90;786;50;762;0;713;60;760;90;743;10;801;60;761;90;819;80;717;0;799;20
501;40;511;80;533;20;485;40;662;80;643;60;652;20;634;30;653;90;672;70;632;30;650;40;653;50;651;10;625;0;641;50
586;80;675;40;630;50;545;50;709;20;734;20;717;80;731;30;668;80;749;20;709;60;765;20;702;90;730;40;705;20;752;30
477;70;518;30;533;20;458;70;702;30;754;60;799;80;707;90;693;70;717;60;822;40;708;90;839;30;748;20;687;50;715;90
529;50;572;90;582;40;470;50;730;40;754;0;743;20;744;40;750;0;708;80;732;10;763;70;760;10;729;20;779;40;709;40
466;50;486;30;479;50;419;40;731;0;763;20;760;30;765;90;738;10;723;30;717;40;810;70;775;0;745;60;720;0;803;0
517;40;515;0;519;40;457;0;703;20;754;60;718;90;681;60;671;10;728;10;733;0;775;50;713;40;726;40;688;80;675;10
559;50;576;90;520;50;480;30;681;90;724;60;682;20;663;10;625;60;740;0;641;0;815;0;641;0;722;0;669;90;653;60
431;30;442;50;437;60;461;70;596;30;607;70;593;20;567;0;582;0;614;0;551;60;643;70;584;10;603;30;566;40;569;10
582;0;612;60;668;50;565;20;743;70;746;50;778;40;735;50;715;0;765;50;750;30;743;20;745;50;814;0;674;40;789;20
643;90;811;80;696;30;558;30;895;20;963;80;890;0;857;30;827;20;957;70;987;40;949;40;934;30;845;60;868;10;844;70
591;50;681;80;715;10;552;0;850;80;879;90;898;50;859;80;853;50;843;90;893;70;846;10;960;0;848;60;861;0;853;90
531;50;567;90;558;20;537;60;728;80;748;40;771;10;753;90;689;0;768;50;733;60;755;90;757;90;785;10;728;50;765;50
596;70;626;70;649;50;567;0;1065;90;1064;30;1066;30;1124;40;906;60;1226;30;926;90;1241;0;1006;70;1101;50;1019;80;1228;60
573;30;601;10;614;40;549;30;780;0;821;90;860;20;800;20;739;40;814;80;766;40;872;10;804;90;915;40;773;80;815;30
493;80;521;10;522;10;490;0;717;10;707;20;693;90;705;90;726;60;708;40;697;60;716;30;712;80;672;80;683;70;718;80
554;0;705;10;721;40;536;10;827;90;866;10;803;50;773;40;812;10;843;40;867;80;887;70;791;20;815;40;736;50;804;30
489;90;523;0;512;10;445;0;652;20;665;0;615;40;667;10;657;50;648;20;631;60;694;80;628;90;602;40;625;90;714;30
578;0;602;80;572;70;493;90;770;60;790;60;757;30;700;20;775;10;766;30;738;50;857;10;757;0;758;80;643;0;760;80
665;90;759;50;701;40;599;90;903;50;885;30;931;30;881;0;898;10;908;90;858;80;899;50;961;50;905;60;821;80;950;0
459;30;462;90;487;40;427;80;719;70;682;80;669;70;677;10;722;10;709;20;667;70;705;70;638;30;699;30;665;90;688;30
508;0;639;70;573;50;552;80;723;0;743;30;725;30;690;60;696;40;751;60;725;70;760;60;720;80;728;70;660;60;715;40
