"Scan","Name","Gender","Group","Low_1","Low_2","Low_3","Low_4","High_1","High_2","High_3","High_4","Dist_1","Dist_2","Dist_3","Dist_4"
"01B","lh_94","f","s",9036,10967,9526,9767,9784,11160,9963,7809,8919,11189,9577,10821
"02B","mc_88","f","w",8195,10660,9873,"NaN",7830,9338,10925,"NaN",9808,10548,10802,11033
"03B","ip_89","f","s",15655,17718,17917,"NaN",13537,17201,19552,"NaN",15363,20006,16630,20041
"05B","sb_81","m","s",8247,10561,10540,"NaN",8759,9099,9495,12008,9249,8967,9945,11687
"06B","sv_84","m","w",8561,8561,8714,7954,7842,7942,8171,7760,8188,8522,8269,7706
"07B","rp_94","f","w",13744,15900,15056,16546,14934,18111,14838,"NaN",15790,20455,16719,14395
"08B","am_91","f","w",8044,8065,7629,9221,7599,9225,8301,7103,7897,8362,8209,7164
"09B","mm_89","m","w",9743,13438,12151,"NaN",10806,12188,13458,11407,10440,14302,13197,12629
"12B","sj_92","m","w",6836,"NaN","NaN",7827,7104,"NaN","NaN",7301,6935,"NaN","NaN",7262
"13B","kw_88","f","w",7421,12642,9652,"NaN",7186,11491,9543,"NaN",8015,10615,8788,9049
"14B","mk_93","m","w",10644,13405,16154,"NaN",9475,15826,12970,"NaN",10366,16309,15759,20635
"15B","rs_92","f","w",8293,9179,8071,8763,7758,8522,8007,8077,7181,8923,8593,7620
"16B","sd_88","f","s",8413,9220,8330,8445,8885,8595,8923,8019,7485,8725,8744,8742
"17B","mg_88","f","s",12055,21723,20509,"NaN",12966,21662,28677,"NaN",12780,22848,20906,17379
"18B","fl_93","f","s",7598,7543,8647,7723,7290,"NaN","NaN",8092,7870,8922,8216,8310
"19B","nk_86","f","s",8692,"NaN",8263,6921,8313,10786,8519,8805,8548,10180,7406,8704
"22B","mp_85","m","s",8777,8718,11178,10760,8625,9598,9668,10844,8231,10574,11474,10394
"23B","tl_86","m","s",9073,8812,8819,"NaN",9392,10013,8333,"NaN",9382,9563,8930,"NaN"
"24B","jd_90","m","s",8017,9126,8572,7956,8087,8372,8952,8444,8610,9110,8227,8123
"25B","mn_88","f","w",9356,15943,17135,10892,9937,16568,18979,13737,8790,17860,15635,13633
"26B","as_89","f","w",7269,8546,7692,8277,7764,8800,9154,7461,7870,8145,7823,7365
"27B","mb_92","m","s",8329,13046,13388,16393,8857,11127,17434,"NaN",8331,13419,11831,10761
"28B","ag_90","f","s",7585,10353,10347,"NaN",7432,9886,11398,12322,7838,9993,10987,8724
"29B","hl_87","m","s",7319,11087,8923,7046,7802,9522,8295,"NaN",8306,8518,8854,9760
"30B","dd_89","m","s",11497,15042,15080,15045,11351,13777,15385,"NaN",13119,15252,15346,15846
"31B","or_88","f","w",7112,8541,6903,7067,6491,8435,8060,8144,6926,7162,7320,7210
"32B","js_86","f","w",9541,20707,15794,9752,9380,13530,11551,"NaN",7839,11129,12284,10658
"33B","ps_89","m","s",13191,20306,18496,18392,12410,21680,16980,25111,12859,21320,18969,21572
"34B","bh_85","m","s",7625,9201,7714,11672,7928,8126,9567,9483,7474,7838,8483,9422
"35B","jr_90","m","w",8980,10583,14693,9497,8631,12362,8579,10938,9242,11613,11544,9979
"36B","jm_91","m","w",7544,"NaN",9120,10525,7935,8171,"NaN","NaN",8183,10267,10707,11552
"38B","sw_91","f","s",7728,8161,7520,8532,7573,8556,8486,8248,7285,8560,8269,8781
"39B","nt_89","f","s",7609,8252,7634,8326,7228,8382,8081,"NaN",7611,9147,8908,8997
"40B","ms_90","m","w",14006,19723,20346,"NaN",12957,19248,23019,"NaN",14224,24300,23172,23284
"41B","dl_91","m","w",7144,9114,8153,7210,7402,8831,7371,8501,7520,7627,8482,8783
"42B","hd_87","m","w",13126,"NaN",10590,13663,10937,10472,15109,17833,13591,"NaN",15247,18476
"43B","ds_92","m","w",13018,15917,13149,10085,12553,14319,20422,8904,13598,14157,14097,15032
"44B","jf_92","f","w",7124,8453,8959,7398,7427,8540,8887,7107,7447,8362,7927,7890
"46B","fs_86","m","w",8495,9196,10745,8112,8760,10022,8570,8672,9075,11469,10125,9033
