"Scan","Name","Gender","Group","R1_low","R2_low","F3_low","F4_low","R1_high","R2_high","F3_high","F4_high","Dist_1","Dist_2","Dist_3","Dist_4","Missing"
"01B","lh_94","f","s",16,8,10,3,12,6,18,1,4,16,45,15,6
"02B","mc_88","f","w",10,8,1,0,12,3,2,0,13,17,44,6,44
"03B","ip_89","f","s",12,16,12,0,11,15,12,0,2,6,56,16,2
"05B","sb_81","m","s",19,6,6,0,17,3,10,4,21,17,31,11,15
"06B","sv_84","m","w",12,12,4,5,13,4,10,8,5,12,28,35,12
"07B","rp_94","f","w",11,8,7,2,6,11,10,0,7,11,28,34,25
"08B","am_91","f","w",16,4,7,2,22,4,8,4,9,9,32,30,13
"09B","mm_89","m","w",18,5,6,0,20,6,7,3,9,16,24,31,15
"12B","sj_92","m","w",21,0,0,8,25,0,0,5,13,0,0,67,21
"13B","kw_88","f","w",28,2,5,0,34,1,3,0,14,6,38,22,7
"14B","mk_93","m","w",21,11,3,0,20,8,7,0,10,32,35,2,11
"15B","rs_92","f","w",14,6,8,1,22,8,5,3,7,21,38,14,13
"16B","sd_88","f","s",9,12,9,5,9,9,15,5,1,14,49,16,7
"17B","mg_88","f","s",27,8,2,0,31,8,1,0,10,9,19,42,3
"18B","fl_93","f","s",24,2,2,6,25,0,0,13,25,5,6,44,8
"19B","nk_86","f","s",18,0,7,8,19,2,8,8,17,12,19,32,10
"22B","mp_85","m","s",23,3,6,5,21,4,6,8,15,10,28,27,4
"23B","tl_86","m","s",12,4,16,0,16,7,12,0,19,14,45,0,15
"24B","jd_90","m","s",13,5,8,7,16,4,10,9,7,7,39,27,8
"25B","mn_88","f","w",26,4,4,3,23,4,1,8,18,10,17,35,7
"26B","as_89","f","w",10,5,3,15,18,2,5,11,7,6,16,51,11
"27B","mb_92","m","s",25,3,4,1,29,6,1,0,9,8,30,33,11
"28B","ag_90","f","s",28,1,2,0,34,2,3,1,30,6,13,31,9
"29B","hl_87","m","s",16,8,11,1,20,3,11,0,13,5,56,5,11
"30B","dd_89","m","s",10,13,9,1,15,15,7,0,8,20,39,8,2
"31B","or_88","f","w",13,1,6,11,16,3,3,15,10,2,16,52,12
"32B","js_86","f","w",29,2,3,1,33,4,1,0,13,4,37,26,7
"33B","ps_89","m","s",19,5,7,5,18,10,4,5,3,12,38,26,8
"34B","bh_85","m","s",17,5,2,4,15,5,5,4,31,14,22,13,23
"35B","jr_90","m","w",14,3,6,6,19,6,1,3,23,8,18,30,23
"36B","jm_91","m","w",29,0,3,2,34,2,0,0,40,8,19,13,10
"38B","sw_91","f","s",19,4,4,7,22,7,6,4,11,16,27,26,7
"39B","nt_89","f","s",26,5,3,2,30,4,3,0,21,11,14,34,7
"40B","ms_90","m","w",16,15,6,0,23,9,3,0,6,25,37,12,8
"41B","dl_91","m","w",15,2,4,8,26,3,4,1,34,6,22,18,17
"42B","hd_87","m","w",15,0,2,11,17,1,3,14,16,0,8,51,22
"43B","ds_92","m","w",22,5,2,1,20,3,2,1,16,16,19,17,36
"44B","jf_92","f","w",17,5,10,3,23,6,8,2,8,4,40,28,6
"46B","fs_86","m","w",18,9,4,2,18,12,2,3,24,14,18,16,20
