"Scan","Code","Gender","Group","sc_cue_15","sc_cue_50l","sc_cue_50h","sc_cue_100","sw_cue_15","sw_cue_50l","sw_cue_50h","sw_cue_100","dc_liv_stim_15","dc_non_stim_15","dc_liv_stim_50l","dc_non_stim_50l","dc_liv_stim_50h","dc_non_stim_50h","dc_liv_stim_100","dc_non_stim_100","sc_liv_stim_15","sc_non_stim_15","sc_liv_stim_50l","sc_non_stim_50l","sc_liv_stim_50h","sc_non_stim_50h","sc_liv_stim_100","sc_non_stim_100","sw_liv_stim_15","sw_non_stim_15","sw_liv_stim_50l","sw_non_stim_50l","sw_liv_stim_50h","sw_non_stim_50h","sw_liv_stim_100","sw_non_stim_100"
"01A","lh_94","f","s",40,39,39,40,0,1,1,0,20,18,19,18,20,17,18,18,20,18,20,18,20,18,18,18,0,2,0,2,0,1,2,2
"02A","mc_88","f","w",30,30,28,30,0,0,2,0,8,8,8,11,9,8,11,10,8,8,8,11,10,9,11,10,7,7,7,4,5,6,4,5
"03A","ip_89","f","s",40,40,39,40,0,0,1,0,19,20,20,20,18,20,15,20,19,20,20,20,19,20,15,20,1,0,0,0,1,0,5,0
"05A","sb_81","m","s",39,37,40,39,1,3,0,1,17,19,17,14,19,15,15,18,17,19,17,14,19,15,15,18,2,1,3,3,1,5,5,1
"06A","sv_84","m","w",40,36,36,40,0,4,4,0,19,20,17,16,17,18,18,20,19,20,18,19,19,20,18,20,1,0,2,1,1,0,2,0
"07A","rp_94","f","w",29,28,28,30,1,2,2,0,14,13,14,14,13,14,14,14,19,18,18,20,18,20,18,19,1,2,2,0,2,0,2,0
"08A","am_91","f","w",40,36,39,40,0,4,1,0,19,19,13,16,19,19,16,18,19,19,15,17,19,20,16,18,1,1,5,3,1,0,4,2
"09A","mm_89","m","w",39,37,37,39,1,3,3,1,17,20,12,17,18,18,13,18,18,20,14,18,19,19,14,18,2,0,6,2,1,1,6,2
"12A","sj_92","m","w",40,40,40,40,0,0,0,0,14,15,15,14,15,16,15,12,14,15,15,14,15,16,15,12,6,5,5,6,5,4,5,8
"13A","kw_88","f","w",40,38,40,40,0,2,0,0,16,20,17,18,18,20,16,19,16,20,17,20,18,20,16,19,4,0,3,0,2,0,4,1
"14A","mk_93","m","w",40,39,37,40,0,1,2,0,19,20,19,17,19,16,20,20,19,20,19,18,20,18,20,20,1,0,1,2,0,1,0,0
"15A","rs_92","f","w",39,33,39,40,1,7,1,0,16,20,14,15,18,20,17,18,17,20,18,17,19,20,17,18,3,0,2,3,1,0,3,2
"16A","sd_88","f","s",40,40,39,40,0,0,1,0,17,20,15,20,18,20,15,20,17,20,15,20,19,20,15,20,3,0,5,0,1,0,5,0
"17A","mg_88","f","s",40,40,40,40,0,0,0,0,19,20,18,19,20,20,19,19,19,20,18,19,20,20,19,19,1,0,2,1,0,0,1,1
"18A","fl_93","f","s",40,37,40,40,0,3,0,0,19,18,15,19,19,19,16,18,19,18,17,19,19,19,16,18,1,2,3,1,1,1,4,2
"19A","nk_86","f","s",40,39,40,40,0,1,0,0,19,19,15,18,18,19,16,18,19,19,16,18,18,19,16,18,1,1,4,2,2,1,4,2
"22A","mp_85","m","s",40,39,39,40,0,1,1,0,19,19,18,19,20,19,17,17,19,19,18,20,20,20,17,17,1,1,2,0,0,0,3,3
"23A","tl_86","m","s",40,36,37,40,0,4,3,0,17,19,15,17,19,16,17,19,17,19,18,18,19,19,17,19,3,1,2,2,1,1,2,1
"24A","jd_90","m","s",40,39,40,40,0,1,0,0,19,19,14,19,20,19,16,19,19,19,14,20,20,19,16,19,1,1,6,0,0,1,4,1
"25A","mn_88","f","w",40,39,36,40,0,1,4,0,19,18,19,18,18,18,16,19,19,18,19,19,20,20,16,19,1,2,1,1,0,0,4,1
"26A","as_89","f","w",40,39,40,40,0,1,0,0,19,19,14,19,19,17,15,20,19,19,15,19,19,17,15,20,1,1,5,1,1,3,5,0
"27A","mb_92","m","s",40,36,40,40,0,4,0,0,18,18,16,17,18,18,19,19,18,18,17,20,18,18,19,19,2,2,3,0,2,2,1,1
"28A","ag_90","f","s",40,35,40,40,0,5,0,0,18,20,14,17,20,20,18,18,18,20,18,18,20,20,18,18,2,0,2,2,0,0,2,2
"29A","hl_87","m","s",40,38,39,40,0,2,0,0,17,20,18,18,18,18,18,20,17,20,18,20,18,18,18,20,3,0,2,0,1,2,2,0
"30A","dd_89","m","s",40,39,40,40,0,1,0,0,20,19,19,19,19,20,20,19,20,19,19,20,19,20,20,19,0,1,1,0,1,0,0,1
"31A","or_88","f","w",40,35,39,40,0,5,1,0,18,18,13,19,19,19,16,19,18,18,17,20,20,19,16,19,2,2,3,0,0,1,4,1
"32A","js_86","f","w",40,39,39,40,0,1,1,0,19,19,17,18,19,19,17,19,19,19,18,18,19,20,17,19,0,1,2,2,1,0,3,1
"33A","ps_89","m","s",40,39,39,40,0,1,1,0,19,20,17,19,19,19,19,19,19,20,18,19,19,20,19,19,1,0,1,1,1,0,1,1
"34A","bh_85","m","s",40,33,33,40,0,7,7,0,18,19,12,16,12,17,14,20,18,19,14,19,16,19,14,20,2,1,6,1,3,1,6,0
"35A","jr_90","m","w",31,37,31,40,0,2,1,0,14,14,12,17,15,14,15,20,14,19,13,17,15,18,15,20,1,1,2,1,1,1,1,0
"36A","jm_91","m","w",40,38,40,40,0,2,0,0,19,18,19,15,17,19,20,19,19,18,19,17,17,19,20,19,0,1,1,3,3,1,0,1
"38A","sw_91","f","s",40,38,40,40,0,2,0,0,18,20,17,17,20,20,18,20,18,20,19,17,20,20,18,20,2,0,1,3,0,0,2,0
"39A","nt_89","f","s",40,38,40,40,0,2,0,0,17,20,17,19,19,18,14,20,17,20,18,20,19,18,14,20,3,0,2,0,1,2,6,0
"40A","ms_90","m","w",40,39,39,40,0,1,1,0,19,20,19,18,18,18,17,19,19,20,19,18,19,18,17,19,1,0,1,2,1,2,3,1
"41A","dl_91","m","w",40,35,38,40,0,5,2,0,14,18,13,16,17,18,17,15,14,18,15,17,17,20,17,15,6,2,5,3,3,0,3,5
"42A","hd_87","m","w",40,35,39,40,0,5,1,0,19,20,15,15,18,20,18,17,19,20,18,17,19,20,18,17,1,0,2,3,1,0,2,3
"43A","ds_92","m","w",40,35,33,40,0,4,7,0,19,20,17,15,14,15,20,17,19,20,19,18,17,19,20,17,1,0,1,2,3,1,0,3
"44A","jf_92","f","w",40,39,40,40,0,1,0,0,19,19,19,16,19,20,19,19,19,19,19,17,19,20,19,19,1,1,1,3,1,0,1,1
"46A","fs_86","m","w",40,39,39,40,0,1,1,0,19,20,19,18,20,19,17,20,19,20,19,19,20,20,17,20,1,0,1,1,0,0,3,0
